code,name,lot_size,stock_type,stock_child_type,stock_owner,option_type,strike_time,strike_price,suspension,listing_date,stock_id,delisting,index_option_type,main_contract,last_trade_time,exchange_type
US.LIST20882,NVIDIA Portfolio,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100880,False,N/A,False,,US_NYSE
US.LIST20883,Nancy Pelosi Portfolio,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10100881,False,N/A,False,,US_NYSE
US.LIST2089,Aerospace & Defense,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002089,False,N/A,False,,US_NYSE
US.LIST2090,Airlines,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002090,False,N/A,False,,US_NYSE
US.LIST2092,Pharmaceutical Retailers,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002092,False,N/A,False,,US_NYSE
US.LIST2093,Silver,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002093,False,N/A,False,,US_NYSE
US.LIST2094,Gambling,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002094,False,N/A,False,,US_NYSE
US.LIST2095,Grocery Stores,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002095,False,N/A,False,,US_NYSE
US.LIST2098,Communication Equipment,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002098,False,N/A,False,,US_NYSE
US.LIST2101,Steel,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002101,False,N/A,False,,US_NYSE
US.LIST2102,Railroads,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10002102,False,N/A,False,,US_NYSE
US.LIST21027,Japan ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101025,False,N/A,False,,US_NYSE
US.LIST21028,Japan,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101026,False,N/A,False,,US_NYSE
US.LIST21030,Spot Crypto ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101028,False,N/A,False,,US_NYSE
US.LIST21031,Japan ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101029,False,N/A,False,,US_NYSE
US.LIST21032,Semiconductor ETFs,0,PLATE,N/A,,N/A,,N/A,N/A,1970-01-01,10101030,False,N/A,False,,US_NYSE
