code,is_long_permit,is_short_permit,short_pool_remain,short_fee_rate,alert_long_ratio,alert_short_ratio,im_long_ratio,im_short_ratio,mcm_long_ratio,mcm_short_ratio,mm_long_ratio,mm_short_ratio
US.DMII,False,False,0.0,0.0,100.0,58.330499999999994,100.0,60.0,100.0,57.615,100.0,50.46000000000001
US.DMZPY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DMRC,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DNCLY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DHIL,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DKI,False,False,0.0,0.0,100.0,679.35,100.0,679.35,100.0,679.35,100.0,679.35
US.DKILY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DLTI,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DIBS,False,False,0.0,0.0,100.0,83.48,100.0,83.48,100.0,83.48,100.0,83.48
US.DIT,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DLO,True,True,390200.0,3.0,77.0,87.0,80.0,90.0,75.0,85.0,65.0,75.0
US.DHCC,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DIDI,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DGTW,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DGX,True,True,284600.0,3.0,47.0,56.99999999999999,50.0,60.0,45.0,55.00000000000001,35.0,45.0
US.DLAPQ,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DGNX,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DHI,True,True,1137900.0,3.0,47.0,56.99999999999999,50.0,60.0,45.0,55.00000000000001,35.0,45.0
US.DIS,True,True,5848100.0,3.0,38.0,38.0,40.0,40.0,36.7,36.7,30.0,30.0
US.DLX,True,True,244100.0,3.0,77.0,187.0,80.0,190.0,75.0,185.0,65.0,175.0
US.DMYYU,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DGWR,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DLNDY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DGNG,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DIFTY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DNDT,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DIVVZ,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DJCO,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DLNG,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DLYT,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DMAA,False,False,0.0,0.0,100.0,57.935,100.0,60.0,100.0,57.05,100.0,48.199999999999996
US.DNAX,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DMOB,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DNBBY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DNFGY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DHRPY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DHT,True,True,451100.0,3.0,77.0,187.0,80.0,190.0,75.0,185.0,65.0,175.0
US.DLOC,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DLXY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,190.0
US.DHBUD,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DHLGY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DKAM,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DLMAY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DLR.PRJ,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DMNIF,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DLTH,False,False,0.0,0.0,100.0,118.49000000000001,100.0,118.49000000000001,100.0,118.49000000000001,100.0,118.49000000000001
US.DMAAU,False,False,0.0,0.0,100.0,57.84224999999999,100.0,60.0,100.0,56.9175,100.0,47.67
US.DMIIU,False,False,0.0,0.0,100.0,58.229,100.0,60.0,100.0,57.47,100.0,49.88
US.DMYY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DH,True,False,0.0,0.0,87.0,100.0,90.0,100.0,85.0,100.0,75.0,100.0
US.DHAI,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DKNG,True,True,1891900.0,3.0,47.0,77.0,50.0,80.0,45.0,75.0,35.0,65.0
US.DLMI,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DGXX,False,False,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
US.DLR.PRK,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DMCHY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DHR,True,True,2904100.0,3.0,47.0,38.0,50.0,40.0,45.0,36.7,35.0,30.0
US.DKS,True,True,148600.0,3.0,56.99999999999999,88.0,60.0,90.0,55.00000000000001,86.7,45.0,80.0
US.DMAAR,False,False,0.0,0.0,100.0,1351.3600000000001,100.0,1351.3600000000001,100.0,1351.3600000000001,100.0,1351.3600000000001
US.DNERY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DLHZ,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DLR.PRL,False,False,0.0,0.0,100.0,56.49999999999999,100.0,60.0,100.0,55.00000000000001,100.0,40.0
US.DMCOD,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DMSIW,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DOLE,True,True,173400.0,3.0,78.0,100.0,80.0,100.0,76.7,100.0,70.0,90.0
US.DROP,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DSFIY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DOCU,True,True,1057200.0,3.0,77.0,77.0,80.0,80.0,75.0,75.0,70.0,70.0
US.DOMAW,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DOSED,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DRXGY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DNLZY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DRJG,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DREM,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DRMTY,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DSAQW,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DORM,True,True,148400.0,3.0,67.0,167.0,70.0,170.0,65.0,165.0,55.00000000000001,155.0
US.DRH,True,True,783700.0,3.0,95.0,157.0,95.0,160.0,95.0,155.0,95.0,145.0
US.DROR,False,False,0.0,0.0,100.0,200.0,100.0,200.0,100.0,200.0,100.0,200.0
US.DOO,True,True,73100.0,3.0,67.0,97.0,70.0,100.0,65.0,95.0,60.0,85.0
US.DRMA,False,False,0.0,0.0,100.0,109.65,100.0,109.65,100.0,109.65,100.0,109.65
